Height,Width,Hue,Times moved,Hours,Priority
7.550613963,20.81459333,0.294861748,0,12,low
7.705457802,18.81847254,-0.922007557,2,18,high
7.684568562,15.29448844,-0.016228246,1,4,high
8.649289565,25.28227644,0.905113089,2,5,low
11.2549928,11.44015886,0.482241364,1,10,low
10.68670534,20.2743599,-0.134873042,2,6,low
9.036804039,28.37565559,0.064038223,1,6,low
6.74304539,25.98633076,0.339634741,0,37,high
7.696924902,27.47215002,0.146875217,3,27,high
9.701053439,21.47961219,-0.73916077,1,12,low
9.235746945,21.21675082,-0.081398131,0,9,low
8.244836308,31.57165596,0.345018777,2,32,high
7.297800417,32.19370173,0.823375589,3,16,high
8.978043338,23.60427337,0.141252728,2,12,low
9.448731507,25.097655,0.278086483,0,19,high
13.17953575,14.12840341,0.037154352,1,8,low
12.35666248,25.96498282,0.561716826,2,10,low
8.879162642,18.1360601,0.178173838,2,25,high
9.130674436,20.54446631,-0.093888337,2,22,high
10.1018689,12.94984381,-0.101959355,0,5,low
8.472167686,20.52471205,-0.447290128,0,41,high
7.306047658,16.40454161,0.921621178,0,30,high
10.44678921,27.29720072,0.131430393,1,9,low
7.042558763,30.41438174,0.5563497,2,21,high
8.635074789,28.52900341,-0.874123753,1,40,high
7.754190912,25.13539023,-0.738916165,1,8,high
13.88839311,13.9417429,0.931780886,0,7,low
12.49365676,25.03351781,-0.318768499,1,6,low
12.32770416,16.07837941,0.178504741,1,7,low
7.74944117,16.92518775,0.014299178,4,21,high
7.264890385,27.88391981,0.027610645,4,21,high
7.768039882,22.27836968,-0.536716387,3,5,high
7.637634344,22.05237578,0.160780307,3,25,high
9.039143235,21.93501407,0.503495997,2,10,high
7.535042118,30.1113751,-0.810215615,1,12,low
9.332704462,32.04535882,-0.264937264,1,6,low
9.714699327,28.62986668,0.134620713,1,10,low
8.514233079,19.91991604,-0.749370343,2,8,high
12.72462161,20.51150668,0.339183046,1,5,low
10.59888157,23.83655688,-0.416645662,1,3,low
11.13094251,15.61452489,-0.158495961,0,11,low
7.820643676,32.37128296,0.56533305,3,22,high
10.36910977,22.99315864,-0.531247339,3,44,high
8.052890243,29.49247003,0.68570679,0,10,low
9.077260949,19.60269247,0.363196327,1,9,low
8.630461733,34.59197152,-0.198625335,2,3,low
8.394985506,27.44274289,0.800798654,4,43,high
11.48017566,22.3929532,-0.477659281,1,11,low
6.202348142,24.99488975,-0.390857465,3,42,high
9.091759076,21.89338468,-0.705055278,1,42,high
7.630363642,28.62254281,-0.832325291,2,9,low
9.808208134,16.47732128,0.357659902,2,6,low
8.72911758,18.40292769,-0.785611161,4,7,high
7.44035371,23.046501,0.54811794,0,43,high
7.080407995,30.81709726,-0.064184484,0,15,high
8.04735495,29.81972143,0.212120959,3,22,high
7.760340137,28.11175565,-0.859741696,3,34,high
8.462039861,20.36097295,0.855220315,2,23,high
9.656349348,22.77898281,-0.89323616,0,14,high
10.87720932,20.78811848,-0.156048325,0,4,low
8.925464625,19.74572991,-0.612571575,2,5,low
8.892380073,30.84102219,0.366791691,1,4,low
8.405900616,19.56086753,-0.298925473,3,21,high
9.295035205,27.61647082,0.146330638,1,15,high
10.94081066,20.14126716,0.526904536,1,11,low
7.143891221,31.05720233,0.681284933,3,3,high
8.15482599,20.80727915,-0.835380495,2,10,low
9.324701361,17.97305867,0.855233598,1,5,high
7.53137911,19.29752622,-0.912176472,0,8,low
10.23282884,22.89150855,-0.204441723,0,10,low
7.472778958,23.57628146,0.149846784,0,8,low
